LeagueId;Round;MatchDate;PredictionDate;Home;Away;Band;HistoricalStatus;Postponed;SourceFile
Belarus_PershayaLiga;18;2026-08-01;2026-07-31;Ostrovets;Lida;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_PershayaLiga;18;2026-08-01;2026-07-31;Uni X Labs;BumProm Gomel;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_VysshayaLiga;18;2026-08-01;2026-07-31;Arsenal Dzerzhinsk;FC Minsk;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_VysshayaLiga;18;2026-08-01;2026-07-31;Baranovici;Isloch;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Belarus_VysshayaLiga;18;2026-08-01;2026-07-31;Gomel;Vitebsk;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Bolivia_DivisionProfesional;16;2026-08-01;2026-07-31;Real Oruro;Independiente;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Bolivia_DivisionProfesional;16;2026-08-01;2026-07-31;SA Bulo Bulo;Blooming;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Bolivia_DivisionProfesional;16;2026-08-01;2026-07-31;Tomayapo;Academia del Balompie;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_Esiliiga;24;2026-08-01;2026-07-31;FC Tallinn;Flora U21;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_Esiliiga;24;2026-08-01;2026-07-31;Levadia U21;Elva;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_Esiliiga;24;2026-08-01;2026-07-31;Nomme Kalju U21;Maardu;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_Esiliiga;24;2026-08-01;2026-07-31;Nomme Utd U21;Tartu Welco;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_EsiliigaB;21;2026-08-01;2026-07-31;Legion;Johvi Phoenix;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_EsiliigaB;21;2026-08-01;2026-07-31;Narva U21;Tallinna Kalev U21;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_EsiliigaB;21;2026-08-01;2026-07-31;Tartu Kalev;Tabasalu;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Estonia_EsiliigaB;21;2026-08-01;2026-07-31;Tulevik;Tammeka U21;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
FaroeIslands_1Deild;17;2026-08-01;2026-07-31;FC Suduroy;B36 Torshavn 2;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
FaroeIslands_1Deild;17;2026-08-01;2026-07-31;Fuglafjordur;Streymur 2;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
FaroeIslands_1Deild;17;2026-08-01;2026-07-31;HB Torshavn 2;TB Tvoroyri;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
FaroeIslands_1Deild;17;2026-08-01;2026-07-31;Sandur;Runavik 2;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
FaroeIslands_1Deild;17;2026-08-01;2026-07-31;Vikingur 2;Hoyvik;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupA;15;2026-08-01;2026-07-31;HPS;HIFK;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupA;15;2026-08-01;2026-07-31;MyPa;Kiffen;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupA;15;2026-08-01;2026-07-31;PuiU;Atlantis;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupB;16;2026-08-01;2026-07-31;EPS;Honka;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupB;16;2026-08-01;2026-07-31;NJS;P-Iirot Rauma;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupC;16;2026-08-01;2026-07-31;Huima / Urho;TP-47;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupC;16;2026-08-01;2026-07-31;JBK;Vaajakoski;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupC;16;2026-08-01;2026-07-31;Narpes Kraft;Hercules;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kakkonen_GroupC;16;2026-08-01;2026-07-31;SJK Akatemia 2;GBK Kokkola;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group2;15;2026-08-01;2026-07-31;ToTe;PPS;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group3;14;2026-08-01;2026-07-31;Gnistan/Ogeli;TiPS/2 U21;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Southern_Group3;14;2026-08-01;2026-07-31;IF Sibbo Vargarna;ToTe/Tapio;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Kolmonen_Western_Group1;15;2026-08-01;2026-07-31;PIF;JyTy;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Veikkausliiga;19;2026-08-01;2026-07-31;Gnistan;KuPS;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Veikkausliiga;19;2026-08-01;2026-07-31;Lahti;Jaro;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Veikkausliiga;19;2026-08-01;2026-07-31;TPS Turku;Mariehamn;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Ykkonen;20;2026-08-01;2026-07-31;KPV;SalPa;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Finland_Ykkonen;20;2026-08-01;2026-07-31;TPV;Rovaniemi;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Iceland_BestaDeildKarla;22;2026-08-01;2026-07-31;Vestmannaeyjar;Fram;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Kazakhstan_PremierLeague;30;2026-08-01;2026-07-31;Atyrau;Zhetysu;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Kazakhstan_PremierLeague;30;2026-08-01;2026-07-31;Ertis Pavlodar;Kaspij Aktau;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Kazakhstan_PremierLeague;30;2026-08-01;2026-07-31;Kyzylzhar;Aktobe;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Kyrgyzstan_PremierLiga;19;2026-08-01;2026-07-31;Alga;Abdysh-Ata;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Kyrgyzstan_PremierLiga;19;2026-08-01;2026-07-31;Ilbirs;Aldier;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Latvia_NakotnesLiga;15;2026-08-01;2026-07-31;Leevon PPK;Rezekne;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Latvia_NakotnesLiga;15;2026-08-01;2026-07-31;Riga FC 2;Metta;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Latvia_NakotnesLiga;15;2026-08-01;2026-07-31;Skanste;Marupe;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Latvia_NakotnesLiga;15;2026-08-01;2026-07-31;Valmiera;RFS 2;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Latvia_Virsliga;26;2026-08-01;2026-07-31;BFC Daugavpils;Jelgava;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Lithuania_ILyga;19;2026-08-01;2026-07-31;Ekranas;Zalgiris 2;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Lithuania_ILyga;19;2026-08-01;2026-07-31;Garliava;Neptunas;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Lithuania_ILyga;19;2026-08-01;2026-07-31;Kauno Zalgiris 2;Atmosfera;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group1;14;2026-08-01;2026-07-31;Lysekloster;Bjarg;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group1;14;2026-08-01;2026-07-31;Mjondalen;Notodden;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group1;14;2026-08-01;2026-07-31;Pors;Brattvag;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group1;14;2026-08-01;2026-07-31;Sandviken;Halden;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group2;16;2026-08-01;2026-07-31;Lørenskog;Honefoss;MEDIA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group2;16;2026-08-01;2026-07-31;Skeid;Grorud;BASSA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_2ndDivision_Group2;16;2026-08-01;2026-07-31;Stjordals Blink;Rana FK;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_3rdDivision_Group1;17;2026-08-01;2026-07-31;Frigg;Ullern;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
Norway_3rdDivision_Group1;17;2026-08-01;2026-07-31;Heming;Baerum Sportsklubb;ALTA;SCHEDULED;NO;data\storico\ranking\v251\storico_ranking_v251.csv
