Engine;NewAltaThreshold;Tot;OK;KO;PercentOK;WilsonLower95;TotNoAU;OKNoAU;KONoAU;PercentOKNoAU;WilsonLower95NoAU
v22def;86.00;218;160;58;73.39;67.16;179;136;43;75.98;69.22
v22def;87.00;192;141;51;73.44;66.77;159;119;40;74.84;67.57
v22def;88.00;169;123;46;72.78;65.62;143;106;37;74.13;66.38
v22def;89.00;145;105;40;72.41;64.63;123;91;32;73.98;65.59
v22def;90.00;114;82;32;71.93;63.07;97;71;26;73.20;63.62
v22def;91.00;85;59;26;69.41;58.95;74;51;23;68.92;57.66
v22def;92.00;67;48;19;71.64;59.91;58;41;17;70.69;57.99
v22def;93.00;51;38;13;74.51;61.13;45;33;12;73.33;58.96
v22def;94.00;42;31;11;73.81;58.93;36;26;10;72.22;56.01
v22def;95.00;33;24;9;72.73;55.78;30;21;9;70.00;52.12
v22def;96.00;22;17;5;77.27;56.56;20;15;5;75.00;53.13
v22def;97.00;15;11;4;73.33;48.05;14;10;4;71.43;45.35
v22def;98.00;9;6;3;66.67;35.42;8;5;3;62.50;30.57
v22def;99.00;4;4;0;100.00;51.01;3;3;0;100.00;43.85
v22def;100.00;2;2;0;100.00;34.24;2;2;0;100.00;34.24
v25def;0.00;3045;1918;1127;62.99;61.26;2510;1576;934;62.79;60.88
v25def;1.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;2.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;3.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;4.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;5.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;6.00;2984;1880;1104;63.00;61.25;2449;1538;911;62.80;60.87
v25def;7.00;2982;1880;1102;63.04;61.30;2447;1538;909;62.85;60.92
v25def;8.00;2981;1879;1102;63.03;61.28;2446;1537;909;62.84;60.90
v25def;9.00;2979;1878;1101;63.04;61.29;2444;1536;908;62.85;60.91
v25def;10.00;2978;1877;1101;63.03;61.28;2443;1535;908;62.83;60.90
v25def;11.00;2978;1877;1101;63.03;61.28;2443;1535;908;62.83;60.90
v25def;12.00;2978;1877;1101;63.03;61.28;2443;1535;908;62.83;60.90
v25def;13.00;2977;1877;1100;63.05;61.30;2442;1535;907;62.86;60.92
v25def;14.00;2975;1877;1098;63.09;61.34;2440;1535;905;62.91;60.97
v25def;15.00;2974;1876;1098;63.08;61.33;2439;1534;905;62.89;60.96
v25def;16.00;2969;1873;1096;63.09;61.33;2434;1531;903;62.90;60.96
v25def;17.00;2969;1873;1096;63.09;61.33;2434;1531;903;62.90;60.96
v25def;18.00;2968;1872;1096;63.07;61.32;2433;1530;903;62.89;60.95
v25def;19.00;2965;1871;1094;63.10;61.35;2430;1529;901;62.92;60.98
v25def;20.00;2961;1869;1092;63.12;61.37;2426;1527;899;62.94;61.00
v25def;21.00;2958;1866;1092;63.08;61.33;2423;1524;899;62.90;60.95
v25def;22.00;2957;1865;1092;63.07;61.32;2422;1523;899;62.88;60.94
v25def;23.00;2954;1865;1089;63.13;61.38;2419;1523;896;62.96;61.02
v25def;24.00;2954;1865;1089;63.13;61.38;2419;1523;896;62.96;61.02
v25def;25.00;2948;1861;1087;63.13;61.37;2413;1519;894;62.95;61.00
v25def;26.00;2944;1858;1086;63.11;61.35;2409;1516;893;62.93;60.98
v25def;27.00;2942;1857;1085;63.12;61.36;2407;1515;892;62.94;60.99
v25def;28.00;2937;1856;1081;63.19;61.43;2402;1514;888;63.03;61.08
v25def;29.00;2930;1853;1077;63.24;61.48;2396;1511;885;63.06;61.11
v25def;30.00;2926;1851;1075;63.26;61.50;2392;1509;883;63.09;61.13
v25def;31.00;2915;1845;1070;63.29;61.53;2381;1503;878;63.12;61.17
v25def;32.00;2902;1841;1061;63.44;61.67;2368;1499;869;63.30;61.34
v25def;33.00;2888;1833;1055;63.47;61.70;2354;1491;863;63.34;61.37
v25def;34.00;2874;1828;1046;63.60;61.83;2342;1486;856;63.45;61.48
v25def;35.00;2853;1820;1033;63.79;62.01;2322;1478;844;63.65;61.67
v25def;36.00;2831;1811;1020;63.97;62.18;2300;1469;831;63.87;61.88
