MatchId;PredictionDate;MatchDate;LeagueId;Round;Home;Away;Score;Band;Outcome;HG;AG;Goals;AlgorithmVersion;ResolvedResultFile;ResolvedMatchDate;HomeRecentMatches;HomeRecentPoints;HomeRecentPPG5;HomeRecentWins5;HomeRecentDraws5;HomeRecentLosses5;HomeRecentGF5;HomeRecentGA5;HomeRecentOver25Rate5;AwayRecentMatches;AwayRecentPoints;AwayRecentPPG5;AwayRecentWins5;AwayRecentDraws5;AwayRecentLosses5;AwayRecentGF5;AwayRecentGA5;AwayRecentOver25Rate5;WorstRecentPPG5;AverageRecentPPG5;BothBelow080;BothWinless5;RecentFormBucket;ProposedPenalty;SimulatedScore;SimulatedBand;WouldLeaveAlta
55;2026-07-08;;USA_USLLeagueTwo_Northwest;34;Tacoma Stars;Midlakes United;82.4;ALTA;OK;2;1;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Northwest.csv;2026-07-09;5;1;0.2000;0;1;4;5;16;1.0000;5;6;1.2000;2;0;3;7;11;0.8000;0.2000;0.7000;0;0;<0.40;3;79.40;ALTA;0
56;2026-07-08;;USA_USLLeagueTwo_Ranger;21;Texoma;Denton Diablos;79.99;ALTA;OK;3;2;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Ranger.csv;2026-07-08;5;9;1.8000;3;0;2;7;6;0.8000;5;13;2.6000;4;1;0;15;10;1.0000;1.8000;2.2000;0;0;>=1.20;0;79.99;ALTA;0
57;2026-07-08;;USA_USLLeagueTwo_Southwest;28;Capo;Southern California;81.06;ALTA;OK;5;4;9;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Southwest.csv;2026-07-09;5;8;1.6000;2;2;1;12;10;0.6000;5;2;0.4000;0;2;3;5;14;0.6000;0.4000;1.0000;0;0;0.40-0.79;2;79.06;ALTA;0
58;2026-07-08;;USA_USLLeagueTwo_Valley;25;West Virginia;Louisville City 2;61.74;MEDIA;OK;3;1;4;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Valley.csv;2026-07-09;5;10;2.0000;3;1;1;9;8;0.6000;5;7;1.4000;2;1;2;5;6;0.2000;1.4000;1.7000;0;0;>=1.20;0;61.74;MEDIA;0
59;2026-07-09;;Bhutan_PremierLeague;9;Transport United;BFF Academy U19;75.27;ALTA;OK;4;2;6;2.5.0;data\storico\risultati\Bhutan_PremierLeague.csv;2026-07-09;5;9;1.8000;3;0;2;6;7;0.6000;5;4;0.8000;1;1;3;6;10;0.4000;0.8000;1.3000;0;0;0.80-1.19;1;74.27;MEDIA;1
60;2026-07-09;;Bolivia_DivisionProfesional;12;Real Oruro;Universitario de Vinto;82.29;ALTA;OK;4;1;5;2.5.0;data\storico\risultati\Bolivia_DivisionProfesional.csv;2026-07-09;5;5;1.0000;1;2;2;8;9;0.8000;5;7;1.4000;2;1;2;8;7;0.6000;1.0000;1.2000;0;0;0.80-1.19;1;81.29;ALTA;0
61;2026-07-09;;Bolivia_DivisionProfesional;12;Real Potosi;Academia del Balompie;75.31;ALTA;OK;2;3;5;2.5.0;data\storico\risultati\Bolivia_DivisionProfesional.csv;2026-07-09;5;5;1.0000;1;2;2;5;5;0.4000;5;6;1.2000;2;0;3;10;14;1.0000;1.0000;1.1000;0;0;0.80-1.19;1;74.31;MEDIA;1
62;2026-07-09;;Estonia_Esiliiga;21;Maardu;Flora U21;84.16;ALTA;OK;3;2;5;2.5.0;data\storico\risultati\Estonia_Esiliiga.csv;2026-07-09;5;8;1.6000;2;2;1;9;8;0.6000;5;10;2.0000;3;1;1;12;9;1.0000;1.6000;1.8000;0;0;>=1.20;0;84.16;ALTA;0
63;2026-07-09;;Finland_Kakkonen_GroupB;13;MuSa;GrIFK;64.45;MEDIA;OK;3;1;4;2.5.0;data\storico\risultati\Finland_Kakkonen_GroupB.csv;2026-07-09;5;5;1.0000;1;2;2;7;13;0.6000;5;8;1.6000;2;2;1;8;5;0.4000;1.0000;1.3000;0;0;0.80-1.19;1;63.45;MEDIA;0
64;2026-07-09;;Kazakhstan_FirstLeague;23;Akademiya Ontustik;Arys;72.42;MEDIA;OK;1;2;3;2.5.0;data\storico\risultati\Kazakhstan_FirstLeague.csv;2026-07-09;5;10;2.0000;3;1;1;8;4;0.4000;5;4;0.8000;1;1;3;6;11;0.8000;0.8000;1.4000;0;0;0.80-1.19;1;71.42;MEDIA;0
65;2026-07-09;;Kazakhstan_FirstLeague;23;Aktobe 2;Khan Tengri;79.71;ALTA;OK;5;2;7;2.5.0;data\storico\risultati\Kazakhstan_FirstLeague.csv;2026-07-09;5;4;0.8000;1;1;3;11;17;1.0000;5;3;0.6000;1;0;4;4;13;0.8000;0.6000;0.7000;0;0;0.40-0.79;2;77.71;ALTA;0
66;2026-07-09;;Kazakhstan_FirstLeague;23;Jaiyq;Tobol 2;66.54;MEDIA;KO;1;0;1;2.5.0;data\storico\risultati\Kazakhstan_FirstLeague.csv;2026-07-09;5;7;1.4000;2;1;2;6;8;0.6000;5;3;0.6000;0;3;2;12;20;1.0000;0.6000;1.0000;0;0;0.40-0.79;2;64.54;MEDIA;0
67;2026-07-09;;Somalia_NationalLeague;19;Jeenyo;Gantaalaha Afgooye;74.74;MEDIA;OK;3;2;5;2.5.0;data\storico\risultati\Somalia_NationalLeague.csv;2026-07-09;5;3;0.6000;0;3;2;6;10;0.4000;5;1;0.2000;0;1;4;7;18;0.8000;0.2000;0.4000;1;1;<0.40;4;70.74;MEDIA;0
69;2026-07-09;;USA_USLChampionship;23;Sacramento Republic;Rhode Island;61.49;MEDIA;OK;2;1;3;2.5.0;data\storico\risultati\USA_USLChampionship.csv;2026-07-09;5;6;1.2000;2;0;3;5;7;0.4000;5;8;1.6000;2;2;1;10;5;0.4000;1.2000;1.4000;0;0;>=1.20;0;61.49;MEDIA;0
71;2026-07-09;;USA_USLLeagueOne;23;New York Cosmos;FC Naples;65.8;MEDIA;KO;1;0;1;2.5.0;data\storico\risultati\USA_USLLeagueOne.csv;2026-07-09;5;0;0.0000;0;0;5;4;13;1.0000;5;0;0.0000;0;0;5;7;15;0.8000;0.0000;0.0000;1;1;<0.40;4;61.80;MEDIA;0
72;2026-07-09;;USA_USLLeagueTwo_Chesapeake;27;Bethesda SC;Virginia Marauders;82.77;ALTA;OK;3;2;5;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Chesapeake.csv;2026-07-09;5;10;2.0000;3;1;1;13;8;0.8000;5;0;0.0000;0;0;5;1;20;1.0000;0.0000;1.0000;0;0;<0.40;3;79.77;ALTA;0
73;2026-07-09;;USA_USLLeagueTwo_Chesapeake;27;Northern Virginia;Lionsbridge;83.98;ALTA;OK;2;4;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Chesapeake.csv;2026-07-09;5;9;1.8000;3;0;2;23;10;1.0000;5;15;3.0000;5;0;0;20;4;0.8000;1.8000;2.4000;0;0;>=1.20;0;83.98;ALTA;0
74;2026-07-09;;USA_USLLeagueTwo_Chesapeake;27;Patuxent;Christos;68.88;MEDIA;KO;0;0;0;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Chesapeake.csv;2026-07-09;5;0;0.0000;0;0;5;1;23;0.6000;5;9;1.8000;3;0;2;8;12;0.6000;0.0000;0.9000;0;0;<0.40;3;65.88;MEDIA;0
75;2026-07-09;;USA_USLLeagueTwo_Chesapeake;27;Virginia Beach;Annapolis Blues;75.51;ALTA;KO;1;1;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Chesapeake.csv;2026-07-09;5;6;1.2000;2;0;3;8;9;0.8000;5;10;2.0000;3;1;1;18;11;1.0000;1.2000;1.6000;0;0;>=1.20;0;75.51;ALTA;0
76;2026-07-09;;USA_USLLeagueTwo_GreatForest;25;Cleveland Force;Steel City;66.86;MEDIA;KO;0;1;1;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatForest.csv;2026-07-09;5;3;0.6000;1;0;4;8;22;1.0000;5;13;2.6000;4;1;0;12;3;0.6000;0.6000;1.6000;0;0;0.40-0.79;2;64.86;MEDIA;0
77;2026-07-09;;USA_USLLeagueTwo_GreatLakes;23;Kalamazoo FC;Lansing City;79.39;ALTA;OK;3;0;3;2.5.0;data\storico\risultati\USA_USLLeagueTwo_GreatLakes.csv;2026-07-09;5;10;2.0000;3;1;1;15;6;0.6000;5;3;0.6000;1;0;4;10;23;1.0000;0.6000;1.3000;0;0;0.40-0.79;2;77.39;ALTA;0
78;2026-07-09;;USA_USLLeagueTwo_Heartland;24;River Light;Rockford Raptors;75.89;ALTA;KO;0;2;2;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Heartland.csv;2026-07-09;5;10;2.0000;3;1;1;17;10;1.0000;5;9;1.8000;3;0;2;7;9;0.6000;1.8000;1.9000;0;0;>=1.20;0;75.89;ALTA;0
79;2026-07-09;;USA_USLLeagueTwo_Heartland;24;RKC SC;Chicago Dutch Lions;73.22;MEDIA;OK;4;2;6;2.5.0;data\storico\risultati\USA_USLLeagueTwo_Heartland.csv;2026-07-09;5;3;0.6000;1;0;4;7;12;0.8000;5;10;2.0000;3;1;1;14;6;0.8000;0.6000;1.3000;0;0;0.40-0.79;2;71.22;MEDIA;0
