Rule;N;GOAL;NO_GOAL;BTTSRate;CoveragePct;LiftVsBaseline
MinGAFull>=1.2 AND MinGFFull>=1.2;2823;1877;946;66.49;32.66;5.77
MinOverL8>=0.6 AND MinGFFull>=1.2;2790;1855;935;66.49;32.28;5.77
MinOverL7>=0.6 AND MinGFL7>=1.2;2041;1357;684;66.49;23.61;5.77
AvgBTTSL7>=0.7 AND MinOverL8>=0.6;1877;1248;629;66.49;21.72;5.77
AvgBTTSL5>=0.8 AND AvgGAL5>=1.6;1298;863;435;66.49;15.02;5.77
MinGAL5>=1.4 AND MinGFL5>=1.0;2661;1769;892;66.48;30.79;5.76
MinGFFull>=1.4 AND MinGAL7>=1.0;2563;1704;859;66.48;29.65;5.76
MinGFL8>=1.8 AND MinGFL5>=1.2;1450;964;486;66.48;16.78;5.76
MinBTTSL8>=0.7 AND MinGFL8>=1.2;883;587;296;66.48;10.22;5.76
MinGFL7>=1.8 AND MinBTTSL8>=0.6;874;581;293;66.48;10.11;5.76
AvgBTTSL8>=0.8 AND MinGFL7>=1.2;701;466;235;66.48;8.11;5.76
MinOverFull>=0.6 AND MinGFL5>=1.2;2505;1665;840;66.47;28.98;5.75
AvgBTTSL8>=0.7 AND MinGFL7>=1.2;1539;1023;516;66.47;17.81;5.75
MinOverL5>=0.7 AND AvgGAL5>=1.6;1357;902;455;66.47;15.7;5.75
MinOverL5>=0.8 AND AvgGAL5>=1.6;1357;902;455;66.47;15.7;5.75
MinGAL7>=1.4 AND MinBTTSL7>=0.6;1336;888;448;66.47;15.46;5.75
MinBTTSL8>=0.7 AND MinBTTSFull>=0.5;1020;678;342;66.47;11.8;5.75
AvgBTTSL8>=0.8 AND AvgBTTSFull>=0.6;832;553;279;66.47;9.63;5.75
MinGAL7>=1.2 AND MinGFL5>=1.2;2549;1694;855;66.46;29.49;5.74
MinGFFull>=1.6 AND MinBTTSL5>=0.5;1446;961;485;66.46;16.73;5.74
MinGFFull>=1.6 AND MinBTTSL5>=0.6;1446;961;485;66.46;16.73;5.74
MinGFFull>=1.4 AND MinOverL5>=0.5;2492;1656;836;66.45;28.83;5.73
MinGFFull>=1.4 AND MinOverL5>=0.6;2492;1656;836;66.45;28.83;5.73
MinOverFull>=0.6 AND AvgGAL7>=1.6;2444;1624;820;66.45;28.28;5.73
MinGAL8>=1.4 AND MinBTTSL7>=0.5;2188;1454;734;66.45;25.32;5.73
MinGFL8>=1.6 AND MinBTTSFull>=0.5;1836;1220;616;66.45;21.24;5.73
MinGFL8>=1.6 AND AvgBTTSL5>=0.7;1407;935;472;66.45;16.28;5.73
MinBTTSL7>=0.7 AND MinGAL7>=1.2;1225;814;411;66.45;14.17;5.73
AvgBTTSL8>=0.8 AND MinBTTSFull>=0.6;754;501;253;66.45;8.72;5.73
MinGFL8>=1.6 AND MinOverL8>=0.5;2193;1457;736;66.44;25.37;5.72
MinGFL8>=1.6 AND AvgBTTSL5>=0.6;1952;1297;655;66.44;22.58;5.73
MinGFL8>=1.6 AND AvgBTTSL8>=0.6;1803;1198;605;66.44;20.86;5.73
MinGFL7>=1.8 AND MinOverL8>=0.4;1463;972;491;66.44;16.93;5.72
MinGFL8>=1.6 AND MinBTTSL8>=0.6;1353;899;454;66.44;15.65;5.73
MinBTTSL8>=0.7;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND AvgBTTSL8>=0.7;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND AvgBTTSL7>=0.7;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL7>=0.7;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND AvgBTTSL7>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL8>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND AvgBTTSL8>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL7>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL5>=0.5;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL5>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL8>=0.5;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL7>=0.5;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND AvgBTTSL5>=0.6;1025;681;344;66.44;11.86;5.72
MinBTTSL8>=0.7 AND MinBTTSL8>=0.4;1025;681;344;66.44;11.86;5.72
AvgBTTSL7>=0.8 AND MinOverL7>=0.5;593;394;199;66.44;6.86;5.72
MinGFL5>=1.4 AND MinGAL7>=1.0;2672;1775;897;66.43;30.92;5.71
AvgBTTSL7>=0.7 AND MinGAL5>=1.2;2094;1391;703;66.43;24.23;5.71
MinOverL5>=0.7 AND AvgGAFull>=1.4;1424;946;478;66.43;16.48;5.71
MinOverL5>=0.8 AND AvgGAFull>=1.4;1424;946;478;66.43;16.48;5.71
AvgBTTSL7>=0.8 AND AvgGAL7>=1.6;557;370;187;66.43;6.44;5.71
AvgBTTSL7>=0.8 AND MinGFL7>=1.2;554;368;186;66.43;6.41;5.71
MinOverL8>=0.6 AND MinGAL7>=1.2;2698;1792;906;66.42;31.22;5.7
MinGFL8>=1.8 AND MinGFFull>=1.2;1468;975;493;66.42;16.98;5.7
MinBTTSL7>=0.7 AND AvgGAFull>=1.6;1081;718;363;66.42;12.51;5.7
AvgBTTSL5>=0.7 AND MinGAL8>=1.2;2435;1617;818;66.41;28.17;5.69
MinGFL5>=1.6 AND AvgBTTSL7>=0.6;1804;1198;606;66.41;20.87;5.69
MinOverL5>=0.7 AND MinGAL7>=1.0;1450;963;487;66.41;16.78;5.69
MinOverL5>=0.8 AND MinGAL7>=1.0;1450;963;487;66.41;16.78;5.69
MinOverL5>=0.7 AND AvgGAL7>=1.4;1432;951;481;66.41;16.57;5.69
MinOverL5>=0.8 AND AvgGAL7>=1.4;1432;951;481;66.41;16.57;5.69
MinGFL7>=1.6 AND MinBTTSL5>=0.7;512;340;172;66.41;5.92;5.69
MinGFL7>=1.6 AND MinBTTSL5>=0.8;512;340;172;66.41;5.92;5.69
MinGAL5>=1.4 AND AvgBTTSL8>=0.6;2586;1717;869;66.4;29.92;5.68
MinOverFull>=0.6 AND MinGFL8>=1.2;2527;1678;849;66.4;29.24;5.68
MinBTTSL8>=0.6 AND MinGAFull>=1.2;2342;1555;787;66.4;27.1;5.68
AvgBTTSFull>=0.7 AND MinGFL5>=1.4;1265;840;425;66.4;14.64;5.68
MinOverL5>=0.7 AND MinBTTSL5>=0.5;1262;838;424;66.4;14.6;5.68
MinOverL5>=0.7 AND MinBTTSL5>=0.6;1262;838;424;66.4;14.6;5.68
MinOverL5>=0.8 AND MinBTTSL5>=0.5;1262;838;424;66.4;14.6;5.68
MinOverL5>=0.8 AND MinBTTSL5>=0.6;1262;838;424;66.4;14.6;5.68
MinOverL5>=0.7 AND MinBTTSL7>=0.5;1256;834;422;66.4;14.53;5.68
MinOverL5>=0.8 AND MinBTTSL7>=0.5;1256;834;422;66.4;14.53;5.68
MinGFL7>=1.6 AND AvgBTTSL5>=0.7;1235;820;415;66.4;14.29;5.68
MinBTTSFull>=0.6 AND AvgBTTSL5>=0.8;1143;759;384;66.4;13.22;5.68
AvgBTTSL8>=0.8 AND MinGFL8>=1.6;503;334;169;66.4;5.82;5.68
MinGFFull>=1.4 AND MinOverL7>=0.5;2681;1780;901;66.39;31.02;5.67
MinGFL8>=1.4 AND MinGAL7>=1.0;2368;1572;796;66.39;27.4;5.67
MinGFL7>=1.6 AND AvgBTTSL5>=0.6;1705;1132;573;66.39;19.73;5.67
MinOverL5>=0.7 AND MinOverL8>=0.6;1547;1027;520;66.39;17.9;5.67
MinOverL5>=0.8 AND MinOverL8>=0.6;1547;1027;520;66.39;17.9;5.67
MinGFL8>=1.8 AND MinGFL7>=1.4;1464;972;492;66.39;16.94;5.67
MinBTTSL5>=0.7 AND AvgGAL7>=1.6;845;561;284;66.39;9.78;5.67
MinBTTSL5>=0.8 AND AvgGAL7>=1.6;845;561;284;66.39;9.78;5.67
AvgBTTSL8>=0.8 AND MinGFL5>=1.2;717;476;241;66.39;8.3;5.67
MinGFL7>=1.6 AND AvgBTTSL5>=0.8;714;474;240;66.39;8.26;5.67
MinBTTSL5>=0.7 AND MinGFL8>=1.4;714;474;240;66.39;8.26;5.67
MinBTTSL5>=0.8 AND MinGFL8>=1.4;714;474;240;66.39;8.26;5.67
AvgBTTSL8>=0.8 AND MinGFL7>=1.4;610;405;205;66.39;7.06;5.67
MinOverL8>=0.6 AND MinGFL7>=1.2;2686;1783;903;66.38;31.08;5.66
MinGFL5>=1.6 AND MinOverL5>=0.5;2082;1382;700;66.38;24.09;5.66
MinGFL5>=1.6 AND MinOverL5>=0.6;2082;1382;700;66.38;24.09;5.66
MinOverL7>=0.6 AND MinGFL8>=1.2;2061;1368;693;66.38;23.85;5.66
MinOverL5>=0.7 AND MinOverFull>=0.6;1410;936;474;66.38;16.31;5.66
MinOverL5>=0.8 AND MinOverFull>=0.6;1410;936;474;66.38;16.31;5.66
MinOverL7>=0.7 AND AvgBTTSL7>=0.7;1285;853;432;66.38;14.87;5.66
AvgBTTSL7>=0.8 AND MinGAFull>=1.2;553;367;186;66.37;6.4;5.65
AvgBTTSFull>=0.6 AND MinOverL7>=0.5;3273;2172;1101;66.36;37.87;5.64
MinGFL8>=1.2 AND AvgGAL8>=1.4;3059;2030;1029;66.36;35.39;5.64
MinBTTSL5>=0.7 AND MinGFFull>=1.2;883;586;297;66.36;10.22;5.65
MinBTTSL5>=0.8 AND MinGFFull>=1.2;883;586;297;66.36;10.22;5.65
AvgBTTSL7>=0.8 AND AvgGAL5>=1.6;550;365;185;66.36;6.36;5.64
MinGFFull>=1.6 AND MinBTTSL8>=0.4;1970;1307;663;66.35;22.79;5.63
MinOverL7>=0.7 AND AvgGAFull>=1.4;1890;1254;636;66.35;21.87;5.63
MinOverL7>=0.7 AND AvgBTTSL5>=0.6;1884;1250;634;66.35;21.8;5.63
MinGFL8>=1.8 AND MinGFL7>=1.2;1468;974;494;66.35;16.98;5.63
MinGFL8>=1.8 AND MinGFFull>=1.4;1462;970;492;66.35;16.92;5.63
AvgBTTSL5>=0.8 AND MinGFFull>=1.2;1272;844;428;66.35;14.72;5.63
AvgBTTSL8>=0.7 AND MinOverL7>=0.6;1257;834;423;66.35;14.54;5.63
MinBTTSL7>=0.7 AND MinBTTSFull>=0.6;1174;779;395;66.35;13.58;5.63
MinBTTSL8>=0.7 AND MinGFL7>=1.2;847;562;285;66.35;9.8;5.63
MinGFL7>=1.4 AND MinOverL5>=0.5;2531;1679;852;66.34;29.28;5.62
MinGFL7>=1.4 AND MinOverL5>=0.6;2531;1679;852;66.34;29.28;5.62
MinGFL5>=1.6 AND MinOverL7>=0.5;2124;1409;715;66.34;24.57;5.62
AvgBTTSFull>=0.7 AND MinOverL8>=0.5;1741;1155;586;66.34;20.14;5.62
MinOverL5>=0.7 AND MinOverL7>=0.6;1438;954;484;66.34;16.64;5.62
MinOverL5>=0.8 AND MinOverL7>=0.6;1438;954;484;66.34;16.64;5.62
MinGFL7>=1.8 AND MinBTTSL8>=0.5;1227;814;413;66.34;14.2;5.62
MinBTTSL8>=0.7 AND AvgGAL8>=1.4;927;615;312;66.34;10.73;5.62
MinGFL8>=1.8 AND MinBTTSL7>=0.6;621;412;209;66.34;7.19;5.62
MinBTTSL8>=0.8 AND MinBTTSFull>=0.6;309;205;104;66.34;3.58;5.62
MinOverFull>=0.6 AND MinGAL7>=1.0;2937;1948;989;66.33;33.98;5.61
MinOverL8>=0.6 AND AvgBTTSL8>=0.6;2881;1911;970;66.33;33.33;5.61
AvgBTTSL8>=0.7 AND MinGFFull>=1.2;1583;1050;533;66.33;18.32;5.61
MinGFL8>=1.8;1470;975;495;66.33;17.01;5.61
MinGFL8>=1.8 AND MinGFL8>=1.6;1470;975;495;66.33;17.01;5.61
MinGFL8>=1.8 AND MinGFL8>=1.4;1470;975;495;66.33;17.01;5.61
MinGFL8>=1.8 AND MinGFL8>=1.2;1470;975;495;66.33;17.01;5.61
MinGFL8>=1.8 AND MinGFL5>=1.0;1467;973;494;66.33;16.97;5.61
AvgBTTSL7>=0.8 AND MinOverFull>=0.5;591;392;199;66.33;6.84;5.61
MinGFL8>=1.2 AND AvgGAL7>=1.4;3052;2024;1028;66.32;35.31;5.6
AvgBTTSFull>=0.6 AND MinGAL7>=1.2;2987;1981;1006;66.32;34.56;5.6
AvgBTTSFull>=0.7 AND MinOverFull>=0.5;1743;1156;587;66.32;20.17;5.6
AvgBTTSL5>=0.8 AND AvgGAFull>=1.6;1140;756;384;66.32;13.19;5.6
MinBTTSL7>=0.8 AND MinOverFull>=0.5;386;256;130;66.32;4.47;5.6
MinOverL8>=0.6 AND AvgGAL8>=1.6;2701;1791;910;66.31;31.25;5.59
MinOverL5>=0.7 AND AvgBTTSL5>=0.6;1472;976;496;66.3;17.03;5.58
MinOverL5>=0.8 AND AvgBTTSL5>=0.6;1472;976;496;66.3;17.03;5.58
MinBTTSL8>=0.7 AND MinGFL7>=1.4;721;478;243;66.3;8.34;5.58
AvgBTTSFull>=0.6 AND MinGAL5>=1.2;3136;2079;1057;66.29;36.28;5.57
MinOverL7>=0.6 AND MinGAL7>=1.2;2062;1367;695;66.29;23.86;5.58
AvgBTTSL8>=0.7 AND MinGFL5>=1.2;1596;1058;538;66.29;18.47;5.57
MinBTTSL7>=0.7 AND MinOverL8>=0.6;1139;755;384;66.29;13.18;5.57
AvgBTTSL8>=0.8 AND MinBTTSL7>=0.7;709;470;239;66.29;8.2;5.57
MinOverL8>=0.6 AND AvgGAL5>=1.6;2702;1791;911;66.28;31.26;5.56
AvgBTTSL7>=0.6 AND MinGAL5>=1.4;2509;1663;846;66.28;29.03;5.56
MinOverFull>=0.6 AND AvgBTTSL5>=0.7;1984;1315;669;66.28;22.95;5.56
AvgBTTSL7>=0.8 AND MinOverL8>=0.5;602;399;203;66.28;6.97;5.56
MinOverFull>=0.6 AND AvgGAFull>=1.6;2502;1658;844;66.27;28.95;5.55
MinOverL8>=0.6 AND MinGAL5>=1.4;2292;1519;773;66.27;26.52;5.55
MinGFL5>=1.8 AND MinGFFull>=1.2;1749;1159;590;66.27;20.24;5.55
MinBTTSL5>=0.7 AND AvgGAL8>=1.6;830;550;280;66.27;9.6;5.55
MinBTTSL5>=0.8 AND AvgGAL8>=1.6;830;550;280;66.27;9.6;5.55
MinGFL5>=1.4 AND MinOverL7>=0.5;2792;1850;942;66.26;32.3;5.54
MinGAFull>=1.4 AND MinOverL5>=0.5;2430;1610;820;66.26;28.12;5.54
MinGAFull>=1.4 AND MinOverL5>=0.6;2430;1610;820;66.26;28.12;5.54
MinBTTSL8>=0.6 AND MinGAL8>=1.2;2365;1567;798;66.26;27.36;5.54
AvgBTTSFull>=0.7 AND MinGFL7>=1.4;1242;823;419;66.26;14.37;5.54
MinBTTSL5>=0.7 AND MinGFL8>=1.2;901;597;304;66.26;10.42;5.54
MinBTTSL5>=0.8 AND MinGFL8>=1.2;901;597;304;66.26;10.42;5.54
AvgBTTSL8>=0.8 AND MinBTTSL5>=0.5;827;548;279;66.26;9.57;5.54
AvgBTTSL8>=0.8 AND MinBTTSL5>=0.6;827;548;279;66.26;9.57;5.54
MinGFL8>=1.4 AND MinOverL5>=0.5;2373;1572;801;66.25;27.46;5.53
MinGFL8>=1.4 AND MinOverL5>=0.6;2373;1572;801;66.25;27.46;5.53
MinOverL7>=0.6 AND MinGAL8>=1.2;2095;1388;707;66.25;24.24;5.53
MinGFL7>=1.6 AND MinOverL8>=0.5;1926;1276;650;66.25;22.28;5.53
AvgBTTSL8>=0.7 AND MinGAL7>=1.0;1858;1231;627;66.25;21.5;5.53
MinOverL7>=0.6 AND MinGAL5>=1.4;1781;1180;601;66.25;20.61;5.54
MinOverL7>=0.6 AND AvgBTTSL5>=0.8;966;640;326;66.25;11.18;5.53
MinGFL8>=1.2 AND AvgGAFull>=1.4;3054;2023;1031;66.24;35.33;5.52
MinGFL8>=1.6 AND MinOverFull>=0.5;2121;1405;716;66.24;24.54;5.52
MinGFL5>=1.8 AND MinGFFull>=1.4;1647;1091;556;66.24;19.06;5.52
MinBTTSL8>=0.8 AND MinGAL7>=1.0;314;208;106;66.24;3.63;5.52
MinGFFull>=1.6 AND MinBTTSL7>=0.8;234;155;79;66.24;2.71;5.52
MinBTTSFull>=0.6 AND MinOverL7>=0.5;2147;1422;725;66.23;24.84;5.51
AvgBTTSFull>=0.7 AND MinGFFull>=1.2;1605;1063;542;66.23;18.57;5.51
MinGFL7>=1.6 AND MinBTTSFull>=0.5;1602;1061;541;66.23;18.54;5.51
AvgBTTSL5>=0.8 AND MinGAL5>=1.2;1389;920;469;66.23;16.07;5.52
MinOverL7>=0.7 AND MinBTTSL8>=0.6;1380;914;466;66.23;15.97;5.51
AvgBTTSL8>=0.8 AND MinBTTSL8>=0.7;681;451;230;66.23;7.88;5.51
MinBTTSL7>=0.8 AND MinGFL5>=1.2;379;251;128;66.23;4.39;5.51
MinBTTSL7>=0.8 AND MinGAL5>=1.2;379;251;128;66.23;4.39;5.51
MinBTTSL8>=0.8 AND AvgBTTSFull>=0.7;305;202;103;66.23;3.53;5.51
MinBTTSL8>=0.8 AND AvgGAL8>=1.4;305;202;103;66.23;3.53;5.51
AvgBTTSFull>=0.6 AND MinGFL8>=1.2;3028;2005;1023;66.22;35.03;5.5
MinOverFull>=0.6 AND MinBTTSFull>=0.5;2786;1845;941;66.22;32.23;5.5
MinGFFull>=1.2 AND MinGAL5>=1.2;2786;1845;941;66.22;32.23;5.5
MinGFFull>=1.4 AND AvgBTTSL8>=0.6;2451;1623;828;66.22;28.36;5.5
MinBTTSFull>=0.6 AND MinGFL8>=1.2;2016;1335;681;66.22;23.33;5.5
AvgBTTSL7>=0.7 AND MinGFFull>=1.2;2010;1331;679;66.22;23.26;5.5
AvgBTTSL8>=0.7 AND MinOverL8>=0.5;1791;1186;605;66.22;20.72;5.5
MinGFL5>=1.8 AND MinGFL7>=1.6;1504;996;508;66.22;17.4;5.5
MinGFL7>=1.8 AND MinGFL5>=1.4;1483;982;501;66.22;17.16;5.5
MinGAL5>=1.4 AND MinBTTSL7>=0.6;1344;890;454;66.22;15.55;5.5
AvgBTTSL7>=0.7 AND MinGFL5>=1.6;1261;835;426;66.22;14.59;5.5
AvgBTTSFull>=0.7 AND MinGFL8>=1.4;1199;794;405;66.22;13.87;5.5
MinBTTSL7>=0.7 AND MinGFFull>=1.2;1193;790;403;66.22;13.8;5.5
MinBTTSFull>=0.6 AND MinOverL5>=0.5;1989;1317;672;66.21;23.01;5.49
MinBTTSFull>=0.6 AND MinOverL5>=0.6;1989;1317;672;66.21;23.01;5.49
MinOverL5>=0.7;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL5>=0.8;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL7>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL5>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL5>=0.6;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL8>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.7 AND MinOverL8>=0.4;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8 AND MinOverL7>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8 AND MinOverL5>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8 AND MinOverL5>=0.6;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8 AND MinOverL8>=0.5;1613;1068;545;66.21;18.66;5.49
MinOverL5>=0.8 AND MinOverL8>=0.4;1613;1068;545;66.21;18.66;5.49
MinGFL7>=1.8 AND MinBTTSL7>=0.5;1098;727;371;66.21;12.7;5.49
MinBTTSL8>=0.7 AND MinOverL8>=0.5;953;631;322;66.21;11.03;5.49
AvgBTTSFull>=0.6 AND MinOverL5>=0.5;3041;2013;1028;66.2;35.18;5.48
AvgBTTSFull>=0.6 AND MinOverL5>=0.6;3041;2013;1028;66.2;35.18;5.48
AvgBTTSL7>=0.7 AND MinGFL7>=1.4;1642;1087;555;66.2;19.0;5.48
MinOverL5>=0.7 AND MinOverFull>=0.5;1583;1048;535;66.2;18.32;5.48
MinOverL5>=0.8 AND MinOverFull>=0.5;1583;1048;535;66.2;18.32;5.48
MinOverL7>=0.7 AND AvgBTTSL5>=0.7;1444;956;488;66.2;16.71;5.49
AvgBTTSL5>=0.8 AND AvgGAL7>=1.6;1219;807;412;66.2;14.1;5.48
MinOverL5>=0.7 AND MinBTTSL8>=0.6;997;660;337;66.2;11.54;5.48
MinOverL5>=0.8 AND MinBTTSL8>=0.6;997;660;337;66.2;11.54;5.48
MinBTTSL8>=0.7 AND MinGAL7>=1.0;994;658;336;66.2;11.5;5.48
AvgBTTSL7>=0.6 AND MinGAFull>=1.2;3106;2056;1050;66.19;35.94;5.47
MinOverL7>=0.6 AND MinGFL5>=1.2;2088;1382;706;66.19;24.16;5.47
AvgBTTSL7>=0.7 AND MinGFL5>=1.4;1674;1108;566;66.19;19.37;5.47
AvgBTTSL7>=0.6 AND MinGAL8>=1.2;3102;2053;1049;66.18;35.89;5.46
MinOverL5>=0.7 AND AvgGAL8>=1.4;1428;945;483;66.18;16.52;5.46
MinOverL5>=0.8 AND AvgGAL8>=1.4;1428;945;483;66.18;16.52;5.46
MinBTTSL5>=0.7 AND AvgGAL5>=1.6;896;593;303;66.18;10.37;5.46
MinBTTSL5>=0.8 AND AvgGAL5>=1.6;896;593;303;66.18;10.37;5.46
MinGFL7>=1.8 AND AvgBTTSL5>=0.8;544;360;184;66.18;6.29;5.46
AvgBTTSL7>=0.7 AND AvgGAL7>=1.4;2297;1520;777;66.17;26.58;5.45
AvgBTTSL8>=0.7 AND AvgBTTSFull>=0.6;1954;1293;661;66.17;22.61;5.45
AvgBTTSFull>=0.7 AND MinBTTSL5>=0.7;745;493;252;66.17;8.62;5.45
AvgBTTSFull>=0.7 AND MinBTTSL5>=0.8;745;493;252;66.17;8.62;5.45
AvgBTTSL8>=0.8 AND MinGFL8>=1.8;337;223;114;66.17;3.9;5.45
MinGAL8>=1.2 AND MinGFL5>=1.0;3395;2246;1149;66.16;39.28;5.44
AvgBTTSL8>=0.6 AND MinGAFull>=1.2;3262;2158;1104;66.16;37.74;5.44
AvgBTTSL5>=0.7 AND MinGAFull>=1.2;2417;1599;818;66.16;27.96;5.44
MinGFL8>=1.4 AND AvgBTTSL7>=0.6;2225;1472;753;66.16;25.74;5.44
MinOverL7>=0.6 AND MinGAFull>=1.2;2089;1382;707;66.16;24.17;5.44
MinOverL8>=0.6 AND MinBTTSFull>=0.6;1856;1228;628;66.16;21.47;5.44
MinOverL5>=0.7 AND MinBTTSL8>=0.4;1445;956;489;66.16;16.72;5.44
MinOverL5>=0.8 AND MinBTTSL8>=0.4;1445;956;489;66.16;16.72;5.44
MinBTTSL7>=0.7 AND MinGAL5>=1.2;1250;827;423;66.16;14.46;5.44
MinBTTSL7>=0.8 AND MinOverL8>=0.5;393;260;133;66.16;4.55;5.44
AvgGAL7>=1.6 AND MinGFL5>=1.0;3034;2007;1027;66.15;35.1;5.43
MinOverL7>=0.7 AND MinGAL7>=1.0;1944;1286;658;66.15;22.49;5.43
AvgBTTSFull>=0.7 AND MinGAL7>=1.0;1805;1194;611;66.15;20.88;5.43
AvgBTTSFull>=0.7 AND MinGFL7>=1.2;1474;975;499;66.15;17.05;5.43
AvgBTTSL7>=0.8 AND AvgBTTSFull>=0.7;579;383;196;66.15;6.7;5.43
AvgBTTSL8>=0.6 AND MinGAL8>=1.2;3266;2160;1106;66.14;37.79;5.42
MinOverFull>=0.6 AND MinGFL5>=1.0;2871;1899;972;66.14;33.22;5.42
MinOverFull>=0.6 AND AvgBTTSL5>=0.6;2773;1834;939;66.14;32.08;5.42
MinOverL8>=0.6 AND MinGAL5>=1.2;2767;1830;937;66.14;32.01;5.42
MinBTTSFull>=0.6 AND AvgGAFull>=1.4;2298;1520;778;66.14;26.59;5.42
MinBTTSL8>=0.6 AND AvgGAL5>=1.6;2156;1426;730;66.14;24.95;5.42
MinGFFull>=1.4 AND AvgBTTSL5>=0.7;1887;1248;639;66.14;21.83;5.42
MinGFL8>=1.8 AND MinGFL7>=1.8;1326;877;449;66.14;15.34;5.42
MinGFL5>=1.2 AND MinGAL5>=1.2;2787;1843;944;66.13;32.25;5.41
MinGAL8>=1.4 AND MinOverFull>=0.5;2669;1765;904;66.13;30.88;5.41
AvgBTTSFull>=0.7 AND AvgBTTSL5>=0.8;1054;697;357;66.13;12.19;5.41
MinBTTSL8>=0.7 AND AvgBTTSL5>=0.7;986;652;334;66.13;11.41;5.41
AvgBTTSL7>=0.8 AND MinOverL8>=0.4;626;414;212;66.13;7.24;5.41
MinBTTSL7>=0.8 AND MinGAL8>=1.2;375;248;127;66.13;4.34;5.41
MinBTTSL7>=0.8 AND MinGFL8>=1.2;375;248;127;66.13;4.34;5.41
MinBTTSL7>=0.8 AND MinGAL7>=1.2;375;248;127;66.13;4.34;5.41
MinOverL7>=0.5 AND MinGAFull>=1.2;3445;2278;1167;66.12;39.86;5.41
MinGAL8>=1.4 AND MinOverL8>=0.5;2751;1819;932;66.12;31.83;5.4
MinGFL8>=1.6 AND MinOverL8>=0.4;2276;1505;771;66.12;26.33;5.41
MinOverL7>=0.6 AND AvgGAL5>=1.6;2075;1372;703;66.12;24.01;5.4
AvgBTTSL7>=0.8 AND AvgGAL8>=1.6;552;365;187;66.12;6.39;5.4
MinGFL7>=1.2 AND MinOverL5>=0.5;3069;2029;1040;66.11;35.51;5.39
MinGFL7>=1.2 AND MinOverL5>=0.6;3069;2029;1040;66.11;35.51;5.39
MinOverFull>=0.6 AND MinBTTSL8>=0.6;1968;1301;667;66.11;22.77;5.39
MinGFFull>=1.4 AND MinBTTSL8>=0.6;1803;1192;611;66.11;20.86;5.39
AvgBTTSL8>=0.7 AND MinBTTSFull>=0.6;1561;1032;529;66.11;18.06;5.39
MinBTTSL7>=0.7 AND MinGFL8>=1.4;950;628;322;66.11;10.99;5.39
MinBTTSL8>=0.8 AND AvgGAFull>=1.4;301;199;102;66.11;3.48;5.39
MinOverL8>=0.6 AND AvgGAL7>=1.6;2649;1751;898;66.1;30.65;5.38
MinGFL8>=1.8 AND MinGFL7>=1.6;1413;934;479;66.1;16.35;5.38
AvgBTTSFull>=0.6 AND AvgGAL7>=1.4;3530;2333;1197;66.09;40.84;5.37
MinOverL8>=0.6 AND MinGFL5>=1.2;2772;1832;940;66.09;32.07;5.37
MinGFL7>=1.6 AND MinBTTSL7>=0.5;1498;990;508;66.09;17.33;5.37
MinOverL7>=0.7 AND MinBTTSL8>=0.5;1881;1243;638;66.08;21.76;5.36
MinOverL8>=0.6 AND MinGFL8>=1.2;2785;1840;945;66.07;32.22;5.35
MinGAL8>=1.4 AND MinBTTSL8>=0.5;2496;1649;847;66.07;28.88;5.35
MinBTTSL8>=0.6 AND AvgGAL8>=1.6;2131;1408;723;66.07;24.66;5.35
MinBTTSL7>=0.7 AND AvgBTTSFull>=0.6;1397;923;474;66.07;16.16;5.35
MinGFL8>=1.6 AND MinBTTSL7>=0.6;955;631;324;66.07;11.05;5.35
AvgBTTSL7>=0.8 AND MinBTTSL7>=0.7;557;368;189;66.07;6.44;5.35
