Engine;LeagueId;Home;Away;Reason
v21dev;Germany_Oberliga_Bayern_Sud;Heimstetten;FC Schwaig;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;Kornburg;Ammerthal;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Landshut;Erlbach;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;TSV 1880 Wasserburg;Gundelfingen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Sud;Hankofen-Hailing;Ismaning;Squadra non trovata nella classifica ricostruita
v21dev;Romania_Superliga;UTA Arad;Otelul;Squadra non trovata nella classifica ricostruita
v21dev;Finland_Kolmonen_Southern_Group2;LPS Helsinki;VJS Vantaa B;Squadra non trovata nella classifica ricostruita
v21dev;Finland_Kolmonen_Western_Group2;NOPS;FC Haka Juniors;Squadra non trovata nella classifica ricostruita
v21dev;Finland_Kolmonen_Western_Group2;LeKi Futis;Saaksjarven Loiske;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Eichstatt;Illertissen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Schwaben Augsburg;Buchbach;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Landsberg;Memmingen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Vilzing;Norinberga II;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Ansbach;Burghausen;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Bayern II;Eltersdorf;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Bayreuth;Augsburg II;Squadra non trovata nella classifica ricostruita
v21dev;Finland_Kolmonen_Western_Group2;TP-49;Ylojarvi United;Squadra non trovata nella classifica ricostruita
v21dev;Finland_Kolmonen_Western_Group2;Tampere Utd II;Lasten;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Oberliga_Bayern_Nord;Neumarkt;Grossbardorf;Squadra non trovata nella classifica ricostruita
v21dev;Romania_Superliga;Din. Bucuresti;Univ. Craiova;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Bayern;Unterhaching;Furth II;Squadra non trovata nella classifica ricostruita
v21dev;Denmark_Superliga;Sonderjyske;Midtjylland;Squadra non trovata nella classifica ricostruita
v21dev;Denmark_Superliga;FC Copenhagen;Lyngby;Squadra non trovata nella classifica ricostruita
v21dev;Denmark_Superliga;Horsens;Nordsjaelland;Squadra non trovata nella classifica ricostruita
v21dev;Denmark_1stDivision;Hobro;Aarhus Fremad;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Nordost;Chemie Leipzig;Babelsberg;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Nordost;Greifswald;Hallescher;Squadra non trovata nella classifica ricostruita
v21dev;Germany_Regionalliga_Nordost;Jena;Zwickau;Squadra non trovata nella classifica ricostruita
