Rule1;Rule2;Rule3;ALTA_OK;ALTA_KO;MEDIA_OK;MEDIA_KO;AltaTotal;AltaHitRate;MediaTotal;MediaHitRate;PrimaryUse
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeMatchesSinceRestart>=3.0;51;7;16;4;58;0.87931;20;0.8;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeMatchesSinceRestart>=3.0;51;7;16;4;58;0.87931;20;0.8;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeMatchesSinceRestart>=3.0;51;7;16;4;58;0.87931;20;0.8;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=35.0;HomeGFAvgSinceRestart>=2.0;182;25;51;28;207;0.879227;79;0.64557;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=1.667;181;25;40;27;206;0.878641;67;0.597015;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;115;16;39;13;131;0.877863;52;0.75;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;115;16;39;13;131;0.877863;52;0.75;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=35.0;86;12;26;14;98;0.877551;40;0.65;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=35.0;86;12;26;14;98;0.877551;40;0.65;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=32.0;107;15;21;15;122;0.877049;36;0.583333;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeGFAvgSinceRestart>=2.5;HomeLongBreakDays<=35.0;114;16;30;19;130;0.876923;49;0.612245;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=1.667;134;19;33;18;153;0.875817;51;0.647059;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=32.0;HomeGFAvgSinceRestart>=1.667;134;19;33;18;153;0.875817;51;0.647059;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.667;141;20;38;18;161;0.875776;56;0.678571;REDUCE_ALTA_KO
HomeGFAvgSinceRestart>=2.0332;HomeLongBreakDays<=35.0;HomeOverRateSinceRestart>=0.714;155;22;45;23;177;0.875706;68;0.661765;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=1.667;HomeOverRateSinceRestart>=0.714;182;26;48;26;208;0.875;74;0.648649;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=1.667;HomeOverRateSinceRestart>=0.714;168;24;46;24;192;0.875;70;0.657143;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=35.0;HomeGFAvgSinceRestart>=2.0;133;19;42;20;152;0.875;62;0.677419;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeLongBreakDays<=35.0;HomeGFAvgSinceRestart>=2.0;133;19;42;20;152;0.875;62;0.677419;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;119;17;42;15;136;0.875;57;0.736842;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;119;17;42;15;136;0.875;57;0.736842;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;35;5;18;5;40;0.875;23;0.782609;REDUCE_ALTA_KO
HomeLongBreakDays<=28.0;HomeOverRateSinceRestart>=1.0;AwayPPGLast5<=0.8;35;5;18;5;40;0.875;23;0.782609;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=23.0;AwayPPGLast5<=0.8;28;4;5;4;32;0.875;9;0.555556;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.5;HomeOverRateSinceRestart>=0.667;111;16;28;15;127;0.874016;43;0.651163;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;AwayPPGLast5<=0.8;HomeOverRateSinceRestart>=0.667;76;11;37;17;87;0.873563;54;0.685185;REDUCE_ALTA_KO
HomeLongBreakDays<=25.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.714;76;11;12;8;87;0.873563;20;0.6;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;69;10;23;5;79;0.873418;28;0.821429;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;69;10;23;5;79;0.873418;28;0.821429;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;69;10;23;5;79;0.873418;28;0.821429;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=1.0;HomeGFAvgSinceRestart>=2.0332;HomeMatchesSinceRestart>=3.0;69;10;23;5;79;0.873418;28;0.821429;REDUCE_ALTA_KO
HomeOverRateSinceRestart>=0.8;HomeLongBreakDays<=35.0;HomeGFAvgSinceRestart>=1.667;193;28;56;33;221;0.873303;89;0.629213;REDUCE_ALTA_KO
HomeLongBreakDays<=29.0;HomeGFAvgSinceRestart>=2.0332;HomeOverRateSinceRestart>=0.667;151;22;39;18;173;0.872832;57;0.684211;REDUCE_ALTA_KO
