Driver1;Driver2;Count;Correlation;AbsoluteCorrelation;RedundancyLevel
WorstPPGLast5;AwayLongBreakDays;43;0.212238;0.212238;LOW
HomePPGLast5;HomeOverRateSinceRestart;43;-0.21203;0.21203;LOW
HomeDefenseWeaknessScore;AwayGALast5Avg;43;0.211748;0.211748;LOW
AwayPPGLast5;HomeWinsLast5;43;-0.211398;0.211398;LOW
HomeGFLast5Avg;AwayMatchesSinceRestart;43;0.210556;0.210556;LOW
RankingGapScore;HomePPGLast5;43;-0.210359;0.210359;LOW
HomeWinsLast5;HomeOverRateSinceRestart;43;-0.209147;0.209147;LOW
RankingGapScore;HomeGALast5Avg;43;0.20813;0.20813;LOW
RankingGapScore;HomeWinsLast5;43;-0.207519;0.207519;LOW
HomePPGLast5;AwayWinsLast5;43;-0.207278;0.207278;LOW
AwayLast10OverScore;AwayWinsLast5;43;0.204975;0.204975;LOW
