Metric;Month;AltaOK;AltaKO;AltaKOShare;MediaOK;MediaKO;MediaOKPrecision;Occurrences
attack_max_le_13__AND__defense_max_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__defense_max_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__defense_max_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_min_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__defense_min_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__defense_min_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_min_le_8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__defense_min_le_8;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__defense_min_le_8;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_min_le_9;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__defense_min_le_9;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__defense_min_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__defense_sum_ge_2;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1353
attack_max_le_13__AND__defense_sum_ge_2;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4931
attack_max_le_13__AND__defense_sum_ge_2;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1226
attack_max_le_13__AND__defense_sum_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1346
attack_max_le_13__AND__defense_sum_ge_4;2026-08;714;209;0.22643553629469124;1166;703;0.6238630283574104;4891
attack_max_le_13__AND__defense_sum_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1211
attack_max_le_13__AND__home_defense_weakness_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__home_defense_weakness_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__home_defense_weakness_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__home_defense_weakness_le_8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__home_defense_weakness_le_8;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__home_defense_weakness_le_8;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__home_defense_weakness_le_9;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__home_defense_weakness_le_9;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__home_defense_weakness_le_9;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__home_venue_le_10;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1407
attack_max_le_13__AND__home_venue_le_10;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4960
attack_max_le_13__AND__home_venue_le_10;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1234
attack_max_le_13__AND__last10_gap_le_10.8;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1379
attack_max_le_13__AND__last10_gap_le_10.8;2026-08;714;209;0.22643553629469124;1160;695;0.6253369272237197;4854
attack_max_le_13__AND__last10_gap_le_10.8;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1216
attack_max_le_13__AND__last10_gap_le_9.6;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1377
attack_max_le_13__AND__last10_gap_le_9.6;2026-08;714;209;0.22643553629469124;1160;695;0.6253369272237197;4847
attack_max_le_13__AND__last10_gap_le_9.6;2026-09;97;48;0.3310344827586207;215;154;0.5826558265582655;1212
attack_max_le_13__AND__last10_max_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1337
attack_max_le_13__AND__last10_max_ge_4;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4886
attack_max_le_13__AND__last10_max_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1199
attack_max_le_13__AND__last10_min_le_10.8;2026-07;229;107;0.31845238095238093;252;142;0.6395939086294417;1393
attack_max_le_13__AND__last10_min_le_10.8;2026-08;709;209;0.22766884531590414;1163;701;0.6239270386266095;4780
attack_max_le_13__AND__last10_min_le_10.8;2026-09;94;48;0.3380281690140845;214;155;0.5799457994579946;1209
attack_max_le_13__AND__last10_sum_ge_4;2026-07;232;109;0.3196480938416422;255;144;0.6390977443609023;1342
attack_max_le_13__AND__last10_sum_ge_4;2026-08;714;209;0.22643553629469124;1168;703;0.6242650988776055;4907
attack_max_le_13__AND__last10_sum_ge_4;2026-09;97;48;0.3310344827586207;215;155;0.581081081081081;1217
